Segment Name,Product Code,Product Name,Feature Name,MRP,Image Link
AGRITEC,A-94C,Fittings for Agriculture 6 meters 10 KG 200MM,,17380,
AGRITEC,A-93C,Fittings for Agriculture 6 meters 10 KG  180MM,,13980,
AGRITEC,A-92C,Fittings for Agriculture 6 meters 10 KG 160MM,,10980,
AGRITEC,A-91C,Fittings for Agriculture 6 meters 10 KG 140MM,,8580,
AGRITEC,A-90C,Fittings for Agriculture 6 meters 10 KG 125MM,,6680,
AGRITEC,A-89C,Fittings for Agriculture 6 meters 10 KG 110MM,,5340,
AGRITEC,A-88C,Fittings for Agriculture 6 meters 10 KG 90MM,,3496,
AGRITEC,A-87C,Fittings for Agriculture 6 meters 10 KG 75MM,,2480,
AGRITEC,A-86C,Fittings for Agriculture 6 meters 10 KG 63MM,,1784,
AGRITEC,A-85C,Fittings for Agriculture 6 meters 10 KG 50MM,,1240,
AGRITEC,A-84C,Fittings for Agriculture 6 meters 10 KG 40MM,,716,
AGRITEC,A-83C,Fittings for Agriculture 6 meters 10 KG 32MM,,468,
AGRITEC,A-82C,Fittings for Agriculture 6 meters 10 KG 25MM,,294,
AGRITEC,A-81C,Fittings for Agriculture 6 meters 10 KG 20MM,,196,
AGRITEC,A-54C,Fittings for Agriculture 6 meters 6 KG 200MM,,10488,
AGRITEC,A-53C,Fittings for Agriculture 6 meters 6 KG  180MM,,8496,
AGRITEC,A-52C,Fittings for Agriculture 6 meters 6 KG 160MM,,6696,
AGRITEC,A-51C,Fittings for Agriculture 6 meters 6 KG 140MM,,5228,
AGRITEC,A-50C,Fittings for Agriculture 6 meters 6 KG 125MM,,4188,
AGRITEC,A-49C,Fittings for Agriculture 6 meters 6 KG 110MM,,3148,
AGRITEC,A-48C,Fittings for Agriculture 6 meters 6 KG 90MM,,2148,
AGRITEC,A-47C,Fittings for Agriculture 6 meters 6 KG 75MM,,1528,
AGRITEC,A-46C,Fittings for Agriculture 6 meters 6 KG 63MM,,1094,
AGRITEC,A-45C,Fittings for Agriculture 6 meters 6 KG 50MM,,694,
AGRITEC,A-44C,Fittings for Agriculture 6 meters 6 KG 40MM,,464,
AGRITEC,A-34C,Fittings for Agriculture 6 meters 4 KG 200MM,,7368,
AGRITEC,A-33C,Fittings for Agriculture 6 meters 4 KG  180MM,,6096,
AGRITEC,A-32C,Fittings for Agriculture 6 meters 4 KG 160MM,,4790,
AGRITEC,A-31C,Fittings for Agriculture 6 meters 4 KG 140MM,,3648,
AGRITEC,A-30C,Fittings for Agriculture 6 meters 4 KG 125MM,,2896,
AGRITEC,A-29C,Fittings for Agriculture 6 meters 4 KG 110MM,,2196,
AGRITEC,A-28C,Fittings for Agriculture 6 meters 4 KG 90MM,,1496,
AGRITEC,A-27C,Fittings for Agriculture 6 meters 4 KG 75MM,,1096,
AGRITEC,A-26C,Fittings for Agriculture 6 meters 4 KG 63MM,,796,
AGRITEC,A-14C,Fittings for Agriculture 6 meters  2.5 KG 200MM,,4890,
AGRITEC,A-13C,Fittings for Agriculture 6 meters  2.5 KG 180MM,,3940,
AGRITEC,A-12C,Fittings for Agriculture 6 meters  2.5 KG 160MM,,3090,
AGRITEC,A-11C,Fittings for Agriculture 6 meters  2.5 KG 140MM,,2290,
AGRITEC,A-10C,Fittings for Agriculture 6 meters  2.5 KG 125MM,,1870,
AGRITEC,A-9C,Fittings for Agriculture 6 meters  2.5 KG 110MM,,1480,
AGRITEC,A-8C,Fittings for Agriculture 6 meters  2.5 KG 90MM,,990,
AGRITEC,A-94B,Fittings for Agriculture 5 meters 10 KG 200MM,,14483,
AGRITEC,A-93B,Fittings for Agriculture 5 meters 10 KG  180MM,,11650,
AGRITEC,A-92B,Fittings for Agriculture 5 meters 10 KG 160MM,,9150,
AGRITEC,A-91B,Fittings for Agriculture 5 meters 10 KG 140MM,,7150,
AGRITEC,A-90B,Fittings for Agriculture 5 meters 10 KG 125MM,,5566,
AGRITEC,A-89B,Fittings for Agriculture 5 meters 10 KG 110MM,,4450,
AGRITEC,A-88B,Fittings for Agriculture 5 meters 10 KG 90MM,,2913,
AGRITEC,A-87B,Fittings for Agriculture 5 meters 10 KG 75MM,,2066,
AGRITEC,A-86B,Fittings for Agriculture 5 meters 10 KG 63MM,,1486,
AGRITEC,A-85B,Fittings for Agriculture 5 meters 10 KG 50MM,,1033,
AGRITEC,A-84B,Fittings for Agriculture 5 meters 10 KG 40MM,,596,
AGRITEC,A-83B,Fittings for Agriculture 5 meters 10 KG 32MM,,390,
AGRITEC,A-82B,Fittings for Agriculture 5 meters 10 KG 25MM,,245,
AGRITEC,A-81B,Fittings for Agriculture 5 meters 10 KG 20MM,,163,
AGRITEC,A-54B,Fittings for Agriculture 5 meters 6 KG 200MM,,8740,
AGRITEC,A-53B,Fittings for Agriculture 5 meters 6 KG  180MM,,7080,
AGRITEC,A-52B,Fittings for Agriculture 5 meters 6 KG 160MM,,5580,
AGRITEC,A-51B,Fittings for Agriculture 5 meters 6 KG 140MM,,4357,
AGRITEC,A-50B,Fittings for Agriculture 5 meters 6 KG 125MM,,3490,
AGRITEC,A-49B,Fittings for Agriculture 5 meters 6 KG 110MM,,2623,
AGRITEC,A-48B,Fittings for Agriculture 5 meters 6 KG 90MM,,1790,
AGRITEC,A-47B,Fittings for Agriculture 5 meters 6 KG 75MM,,1273,
AGRITEC,A-46B,Fittings for Agriculture 5 meters 6 KG 63MM,,912,
AGRITEC,A-45B,Fittings for Agriculture 5 meters 6 KG 50MM,,578,
AGRITEC,A-44B,Fittings for Agriculture 5 meters 6 KG 40MM,,387,
AGRITEC,A-34B,Fittings for Agriculture 5 meters 4 KG 200MM,,6140,
AGRITEC,A-33B,Fittings for Agriculture 5 meters 4 KG  180MM,,5080,
AGRITEC,A-32B,Fittings for Agriculture 5 meters 4 KG 160MM,,3992,
AGRITEC,A-31B,Fittings for Agriculture 5 meters 4 KG 140MM,,3040,
AGRITEC,A-30B,Fittings for Agriculture 5 meters 4 KG 125MM,,2413,
AGRITEC,A-29B,Fittings for Agriculture 5 meters 4 KG 110MM,,1830,
AGRITEC,A-28B,Fittings for Agriculture 5 meters 4 KG 90MM,,1247,
AGRITEC,A-27B,Fittings for Agriculture 5 meters 4 KG 75MM,,913,
AGRITEC,A-26B,Fittings for Agriculture 5 meters 4 KG 63MM,,663,
AGRITEC,A-14B,Fittings for Agriculture 5 meters  2.5 KG 200MM,,4075,
AGRITEC,A-13B,Fittings for Agriculture 5 meters  2.5 KG 180MM,,3283,
AGRITEC,A-12B,Fittings for Agriculture 5 meters  2.5 KG 160MM,,2575,
AGRITEC,A-11B,Fittings for Agriculture 5 meters  2.5 KG 140MM,,1908,
AGRITEC,A-10B,Fittings for Agriculture 5 meters  2.5 KG 125MM,,1558,
AGRITEC,A-9B,Fittings for Agriculture 5 meters  2.5 KG 110MM,,1233,
AGRITEC,A-8B,Fittings for Agriculture 5 meters  2.5 KG 90MM,,825,
AGRITEC,A-770,Fittings for Agriculture ( 6 kg ) REDUCER COUPLER 160 x 110MM,,304.1,
AGRITEC,A-769,Fittings for Agriculture ( 6 kg ) REDUCER COUPLER 140 x 90MM,,207.9,
AGRITEC,A-768,Fittings for Agriculture ( 6 kg ) REDUCER COUPLER 110 x 90MM,,124.1,
AGRITEC,A-767,Fittings for Agriculture ( 6 kg ) REDUCER COUPLER 110 x 75MM,,116.2,
AGRITEC,A-766,Fittings for Agriculture ( 6 kg ) REDUCER COUPLER 110 x 63MM,,110.1,
AGRITEC,A-765,Fittings for Agriculture ( 6 kg ) REDUCER COUPLER 90 x 75MM,,80.4,
AGRITEC,A-764,Fittings for Agriculture ( 6 kg ) REDUCER COUPLER 90 x 63MM,,72.9,
AGRITEC,A-763,Fittings for Agriculture ( 6 kg ) REDUCER COUPLER 90 x 50 MM,,69.2,
AGRITEC,A-762,Fittings for Agriculture ( 6 kg ) REDUCER COUPLER  75 x 63MM,,53.8,
AGRITEC,A-761,Fittings for Agriculture ( 6 kg ) REDUCER COUPLER 75 x 50MM,,48.4,
AGRITEC,A-672,Fittings for Agriculture ( 6 kg ) REDUCER TEE 160 x 110MM,,682.1,
AGRITEC,A-671,Fittings for Agriculture ( 6 kg ) REDUCER TEE 160 x 90MM,,695.4,
AGRITEC,A-670,Fittings for Agriculture ( 6 kg ) REDUCER TEE 160 x 75MM,,581.4,
AGRITEC,A-669,Fittings for Agriculture ( 6 kg ) REDUCER TEE 140 x 90MM,,473.1,
AGRITEC,A-668,Fittings for Agriculture ( 6 kg ) REDUCER TEE  140 x 75MM,,439.6,
AGRITEC,A-667,Fittings for Agriculture ( 6 kg ) REDUCER TEE 110 x 90MM,,300.6,
AGRITEC,A-666,Fittings for Agriculture ( 6 kg ) REDUCER TEE 110 x 75MM,,269.1,
AGRITEC,A-665,Fittings for Agriculture ( 6 kg ) REDUCER TEE 110 x 63MM,,244,
AGRITEC,A-664,Fittings for Agriculture ( 6 kg ) REDUCER TEE 90 x 63MM,,187.2,
AGRITEC,A-663,Fittings for Agriculture ( 6 kg ) REDUCER TEE 90 x 63MM,,173.1,
AGRITEC,A-662,Fittings for Agriculture ( 6 kg ) REDUCER TEE 75 x 63MM,,132,
AGRITEC,A-661,Fittings for Agriculture ( 6 kg ) REDUCER TEE 75 x 50MM,,113,
AGRITEC,A-572,Fittings for Agriculture ( 6 kg ) END CAP 160MM,,260.4,
AGRITEC,A-571,Fittings for Agriculture ( 6 kg ) END CAP 140MM,,182.4,
AGRITEC,A-570,Fittings for Agriculture ( 6 kg ) END CAP 125MM,,136.8,
AGRITEC,A-569,Fittings for Agriculture ( 6 kg ) END CAP 110MM,,104.8,
AGRITEC,A-568,Fittings for Agriculture ( 6 kg ) END CAP 90MM,,67.6,
AGRITEC,A-567,Fittings for Agriculture ( 6 kg ) END CAP 75MM,,43.4,
AGRITEC,A-566,Fittings for Agriculture ( 6 kg ) END CAP 63MM,,30.8,
AGRITEC,A-565,Fittings for Agriculture ( 6 kg ) END CAP 50MM,,19.2,
AGRITEC,A-564,Fittings for Agriculture ( 6 kg ) END CAP 40MM,,12.2,
AGRITEC,A-472,Fittings for Agriculture ( 6 kg ) ELBOW 160MM,,754,
AGRITEC,A-471,Fittings for Agriculture ( 6 kg ) ELBOW 140MM,,506,
AGRITEC,A-470,Fittings for Agriculture ( 6 kg ) ELBOW 125MM,,384,
AGRITEC,A-469,Fittings for Agriculture ( 6 kg ) ELBOW 110MM,,256,
AGRITEC,A-468,Fittings for Agriculture ( 6 kg ) ELBOW 90MM,,168,
AGRITEC,A-467,Fittings for Agriculture ( 6 kg ) ELBOW 75MM,,112,
AGRITEC,A-466,Fittings for Agriculture ( 6 kg ) ELBOW 63MM,,73.4,
AGRITEC,A-465,Fittings for Agriculture ( 6 kg ) ELBOW 50MM,,47.4,
AGRITEC,A-464,Fittings for Agriculture ( 6 kg ) ELBOW 40MM,,29.4,
AGRITEC,A-372,Fittings for Agriculture ( 6 kg ) EQUAL TEE 160MM,,888,
AGRITEC,A-371,Fittings for Agriculture ( 6 kg ) EQUAL TEE 140MM,,644,
AGRITEC,A-370,Fittings for Agriculture ( 6 kg ) EQUAL TEE 125MM,,472,
AGRITEC,A-369,Fittings for Agriculture ( 6 kg ) EQUAL TEE 110MM,,348,
AGRITEC,A-368,Fittings for Agriculture ( 6 kg ) EQUAL TEE 90MM,,224,
AGRITEC,A-367,Fittings for Agriculture ( 6 kg ) EQUAL TEE 75MM,,146.8,
AGRITEC,A-366,Fittings for Agriculture ( 6 kg ) EQUAL TEE 63MM,,96.8,
AGRITEC,A-365,Fittings for Agriculture ( 6 kg ) EQUAL TEE 50MM,,59.8,
AGRITEC,A-364,Fittings for Agriculture ( 6 kg ) EQUAL TEE 40MM,,37.8,
AGRITEC,A-272,Fittings for Agriculture ( 6 kg ) COUPLER 160MM,,368,
AGRITEC,A-271,Fittings for Agriculture ( 6 kg ) COUPLER 140MM,,264,
AGRITEC,A-270,Fittings for Agriculture ( 6 kg ) COUPLER 125MM,,192.4,
AGRITEC,A-269,Fittings for Agriculture ( 6 kg ) COUPLER 110MM,,143.4,
AGRITEC,A-268,Fittings for Agriculture ( 6 kg ) COUPLER 90MM,,92.4,
AGRITEC,A-267,Fittings for Agriculture ( 6 kg ) COUPLER 75MM,,62.8,
AGRITEC,A-266,Fittings for Agriculture ( 6 kg ) COUPLER 63MM,,42.8,
AGRITEC,A-265,Fittings for Agriculture ( 6 kg ) COUPLER 50MM,,26.8,
AGRITEC,A-264,Fittings for Agriculture ( 6 kg ) COUPLER 40MM,,16.2,
AGRITEC,A-543,Fittings for Agriculture ( 4 kg ) END CAP 200MM,,414,
AGRITEC,A-542,Fittings for Agriculture ( 4 kg ) END CAP 160MM,,207.1,
AGRITEC,A-549,Fittings for Agriculture ( 4 kg ) END CAP 110MM,,83.9,
AGRITEC,A-548,Fittings for Agriculture ( 4 kg ) END CAP 90MM,,54,
AGRITEC,A-547,Fittings for Agriculture ( 4 kg ) END CAP 75MM,,37.9,
AGRITEC,A-546,Fittings for Agriculture ( 4 kg ) END CAP 63MM,,26.2,
AGRITEC,A-443,Fittings for Agriculture ( 4 kg ) ELBOW 200MM,,898,
AGRITEC,A-442,Fittings for Agriculture ( 4 kg ) ELBOW 160MM,,627,
AGRITEC,A-449,Fittings for Agriculture ( 4 kg ) ELBOW 110MM,,226.1,
AGRITEC,A-448,Fittings for Agriculture ( 4 kg ) ELBOW 90MM,,138.6,
AGRITEC,A-447,Fittings for Agriculture ( 4 kg ) ELBOW 75MM,,93.1,
AGRITEC,A-446,Fittings for Agriculture ( 4 kg ) ELBOW 63MM,,62,
AGRITEC,A-343,Fittings for Agriculture ( 4 kg ) EQUAL TEE 200MM,,1276,
AGRITEC,A-342,Fittings for Agriculture ( 4 kg ) EQUAL TEE 160MM,,756.8,
AGRITEC,A-349,Fittings for Agriculture ( 4 kg ) EQUAL TEE 110MM,,302.1,
AGRITEC,A-348,Fittings for Agriculture ( 4 kg ) EQUAL TEE 90MM,,190.8,
AGRITEC,A-347,Fittings for Agriculture ( 4 kg ) EQUAL TEE 75MM,,129.2,
AGRITEC,A-346,Fittings for Agriculture ( 4 kg ) EQUAL TEE 63MM,,87,
AGRITEC,A-243,Fittings for Agriculture ( 4 kg ) COUPLER 200MM,,492.8,
AGRITEC,A-242,Fittings for Agriculture ( 4 kg ) COUPLER 160MM,,281.2,
AGRITEC,A-249,Fittings for Agriculture ( 4 kg ) COUPLER 110MM,,116.8,
AGRITEC,A-248,Fittings for Agriculture ( 4 kg ) COUPLER 90MM,,75.8,
AGRITEC,A-247,Fittings for Agriculture ( 4 kg ) COUPLER 75MM,,52,
AGRITEC,A-246,Fittings for Agriculture ( 4 kg ) COUPLER 63MM,,35.6,
AGRITEC,A-503,AGRI Fittings ELBOW 45? 50,,39,
AGRITEC,A-504,AGRI Fittings ELBOW 45? 63,,65.6,
AGRITEC,A-505,AGRI Fittings ELBOW 45? 75,,94.4,
AGRITEC,A-702,AGRI Fittings BUSH 50 x 40,,19.2,
AGRITEC,A-703,AGRI Fittings BUSH 75 x 50,,41.2,
AGRITEC,A-704,AGRI Fittings BUSH 75 x 110,,129.2,
AGRITEC,A-227,AGRI Fittings COUPLER 2.5 kg 75,,27.4,
AGRITEC,A-228,AGRI Fittings COUPLER 2.5 kg 90,,38.4,
AGRITEC,A-229,AGRI Fittings COUPLER 2.5 kg 110,,66,
AGRITEC,A-327,AGRI Fittings EQUAL TEE 2.5kg 75,,63.2,
AGRITEC,A-328,AGRI Fittings EQUAL TEE 2.5kg 90,,96.2,
AGRITEC,A-329,AGRI Fittings EQUAL TEE 2.5kg 110,,165,
AGRITEC,A-427,AGRI Fittings ELBOW 90 2.5 kg 75MM,,46.6,
AGRITEC,A-428,AGRI Fittings ELBOW 90 2.5 kg 90MM,,71.4,
AGRITEC,A-429,AGRI Fittings ELBOW 90 2.5 kg 110MM,,115.4,
AGRITEC,AS-246,AGRI SMART Fittings COUPLER PN-6 63,,38.4,
AGRITEC,AS-247,AGRI SMART Fittings COUPLER PN-6 75,,55.4,
AGRITEC,AS-248,AGRI SMART Fittings COUPLER PN-6 90,,80.8,
AGRITEC,AS-249,AGRI SMART Fittings COUPLER PN-6 110,,124.8,
AGRITEC,AS-242,AGRI SMART Fittings COUPLER PN-6 160,,299.4,
AGRITEC,AS-243,AGRI SMART Fittings COUPLER PN-6 200,,520.4,
AGRITEC,AS-346,AGRI SMART Fittings EQUAL TEE PN-6 63,,93.4,
AGRITEC,AS-347,AGRI SMART Fittings EQUAL TEE PN-6 75,,138.4,
AGRITEC,AS-348,AGRI SMART Fittings EQUAL TEE PN-6 90,,204.4,
AGRITEC,AS-349,AGRI SMART Fittings EQUAL TEE PN-6 110,,324.4,
AGRITEC,AS-342,AGRI SMART Fittings EQUAL TEE PN-6 160,,812.8,
AGRITEC,AS-343,AGRI SMART Fittings EQUAL TEE PN-6 200,,1564.8,
AGRITEC,AS-446,AGRI SMART Fittings ELBOW 90 PN-6 63MM,,67.4,
AGRITEC,AS-447,AGRI SMART Fittings ELBOW 90 PN-6 75MM,,99.8,
AGRITEC,AS-448,AGRI SMART Fittings ELBOW 90 PN-6 90MM,,148.8,
AGRITEC,AS-449,AGRI SMART Fittings ELBOW 90 PN-6 110MM,,242.8,
AGRITEC,AS-442,AGRI SMART Fittings ELBOW 90 PN-6 160MM,,672.2,
AGRITEC,AS-443,AGRI SMART Fittings ELBOW 90 PN-6 200MM,,1053.4,
AGRITEC,AS-546,AGRI SMART Fittings END CAP PN-6 63,,28.8,
AGRITEC,AS-547,AGRI SMART Fittings END CAP PN-6 75,,40.2,
AGRITEC,AS-548,AGRI SMART Fittings END CAP PN-6 90,,58.2,
AGRITEC,AS-549,AGRI SMART Fittings END CAP PN-6 110,,90.2,
AGRITEC,AS-542,AGRI SMART Fittings END CAP PN-6 160,,222.4,
AGRITEC,AS-543,AGRI SMART Fittings END CAP PN-6 200,,464.4,
AGRITEC,AS-227,AGRI SMART Fittings COUPLER PN-4 75,,28.8,
AGRITEC,AS-228,AGRI SMART Fittings COUPLER PN-4 90,,40.2,
AGRITEC,AS-229,AGRI SMART Fittings COUPLER PN-4 110,,68,
AGRITEC,AS-327,AGRI SMART Fittings EQUAL TEE PN-4 75,,64.4,
AGRITEC,AS-328,AGRI SMART Fittings EQUAL TEE PN-4 90,,98.2,
AGRITEC,AS-329,AGRI SMART Fittings EQUAL TEE PN-4 110,,168.4,
AGRITEC,AS-427,AGRI SMART Fittings ELBOW 90 PN-4 75MM,,48.2,
AGRITEC,AS-428,AGRI SMART Fittings ELBOW 90 PN-4 90MM,,72.8,
AGRITEC,AS-429,AGRI SMART Fittings ELBOW 90 PN-4 110MM,,117.4,
AGRITEC,PN 28 C,90 MM AGRI PIPE NON ISI PN 4,,1440,
AGRITEC,PN 29 C,110 MM AGRI PIPE NON ISI PN 4,,1980,
AGRITEC,PN 32 C,160 MM AGRI PIPE NON ISI PN 4,,4180,
AGRITEC,PN 48 C,90 MM AGRI PIPE NON ISI PN 6,,1980,
AGRITEC,PN 49 C,110 MM AGRI PIPE NON ISI PN 6,,2750,
AGRITEC,PN 52 C,160 MM AGRI PIPE NON ISI PN 6,,5740,
AGRITEC,PN 89 C,110 MM AGRI PIPE NON ISI PN 10,,3980,
AGRITEC,A-211,Fittings for Agriculture (10 kg) COUPLER 20mm,,6.6,
AGRITEC,A-212,Fittings for Agriculture (10 kg) COUPLER 25mm,,12.2,
AGRITEC,A-213,Fittings for Agriculture (10 kg) COUPLER 32mm,,17.1,
AGRITEC,A-214,Fittings for Agriculture (10 kg) COUPLER 40mm,,23.1,
AGRITEC,A-215,Fittings for Agriculture (10 kg) COUPLER 50mm,,34,
AGRITEC,A-311,Fittings for Agriculture (10 kg) EQUAL TEE 20mm,,13.7,
AGRITEC,A-312,Fittings for Agriculture (10 kg) EQUAL TEE 25mm,,22,
AGRITEC,A-313,Fittings for Agriculture (10 kg) EQUAL TEE 32mm,,32.4,
AGRITEC,A-314,Fittings for Agriculture (10 kg) EQUAL TEE 40mm,,48,
AGRITEC,A-315,Fittings for Agriculture (10 kg) EQUAL TEE 50mm,,72.5,
AGRITEC,A-411,Fittings for Agriculture (10 kg) ELBOW 90 20mm,,9.9,
AGRITEC,A-412,Fittings for Agriculture (10 kg) ELBOW 90 25mm,,16,
AGRITEC,A-413,Fittings for Agriculture (10 kg) ELBOW 90 32mm,,25.3,
AGRITEC,A-414,Fittings for Agriculture (10 kg) ELBOW 90 40mm,,36.5,
AGRITEC,A-415,Fittings for Agriculture (10 kg) ELBOW 90 50mm,,53,
AGRITEC,A-417,Fittings for Agriculture (4 kg) REDUCER ELBOW 110X75,,232,
AGRITEC,A-419,Fittings for Agriculture (4 kg) REDUCER ELBOW 110X90,,238,
AGRITEC,A-509,Fittings for Agriculture (4 kg) ELBOW 45 90mm,,148,
AGRITEC,A-510,Fittings for Agriculture (4 kg) ELBOW 45 110mm,,236,
AGRITEC,A-511,Fittings for Agriculture (10 kg) ELBOW 45 20mm,,9.5,
AGRITEC,A-512,Fittings for Agriculture (10 kg) ELBOW 45 25mm,,15,
AGRITEC,A-513,Fittings for Agriculture (10 kg) ELBOW 45 32mm,,20.9,
AGRITEC,A-514,Fittings for Agriculture (10 kg) ELBOW 45 40mm,,30,
AGRITEC,A-515,Fittings for Agriculture (10 kg) ELBOW 45 50mm,,44.5,
AGRITEC,A-711,Fittings for Agriculture (4 kg) REDUCER BUSH 20X25,,3.5,
AGRITEC,A-712,Fittings for Agriculture (4 kg) REDUCER BUSH 20X32,,6.9,
AGRITEC,A-713,Fittings for Agriculture (4 kg) REDUCER BUSH 20X40,,13.7,
AGRITEC,A-714,Fittings for Agriculture (4 kg) REDUCER BUSH 20X50,,19.6,
AGRITEC,A-715,Fittings for Agriculture (4 kg) REDUCER BUSH 25X32,,6.4,
AGRITEC,A-716,Fittings for Agriculture (4 kg) REDUCER BUSH 25X40,,15.7,
AGRITEC,A-717,Fittings for Agriculture (4 kg) REDUCER BUSH 25X50,,22.1,
AGRITEC,A-718,Fittings for Agriculture (4 kg) REDUCER BUSH 32X40,,12.4,
AGRITEC,A-719,Fittings for Agriculture (4 kg) REDUCER BUSH 32X50,,21.6,
AGRITEC,A-720,Fittings for Agriculture (4 kg) REDUCER BUSH 40X63,,31.2,
AGRITEC,A-721,Fittings for Agriculture (4 kg) REDUCER BUSH 50X63,,36.3,
C.P-CDA,BEA-106,Health Faucet (Brass) With SS Tube & Abs Hook 1Mtr.,,1290,
C.P-CDA,BEA-105,Health Faucet (Brass) With SS Tube & Abs Hook 1Mtr.,,1090,
C.P-CDA,C-2,WIPE N SHINE FAUCET CLEANER 200ML,,504,
C.P-CDA,C-1,WIPE N SHINE FAUCET CLEANER 100ML,,252,
C.P-CDA,BEN-04,"EXTENSION NIPPLE BRASS/2""",,218,
C.P-CDA,BEN-03,"EXTENSION NIPPLE BRASS 1.5""",,166,
C.P-CDA,ECO-63,Overhead Shower With Armand Flange,,830,
C.P-CDA,BHS-49S,HAND SHOWER TUBE 100MM (1 MTR),,296,
C.P-CDA,BHS-48S,SHOWER TUBE 1500MM (15 MTR),,360,
C.P-CDA,BEA-22,BOTTLE TRAP 12,,2470,
C.P-CDA,BEA-21,Bottle Trap 7 (Droplets),,2580,
C.P-CDA,PR-544,VIRGO Angle Cock,,620,
C.P-CDA,BS-66,"5""Overhead ABS Shower round with 225mm S.S Arm & Flange",,1190,
C.P-CDA,CPS-81,CONCEALED FLANGE HANDLE & SLEEVE,,790,
C.P-CDA,CPS-20,PREMIUM CONCEALEDSTOP COCK WITH FITTING,,1380,
C.P-CDA,CPS-15,PREMIUM CONCEALEDSTOP COCK WITH FITTING,,1320,
C.P-CDA,CSS-79F,CONCEALED FLANGE HANDLE & SLEEVE,,640,
C.P-CDA,CSS-78,CONCEALED FLANGE HANDLE & SLEEVE,,550,
C.P-CDA,CSS-77,CONCEALED FLANGE HANDLE & SLEEVE,,580,
C.P-CDA,CSS-76,CONCEALED FLANGE HANDLE & SLEEVE,,450,
C.P-CDA,CSS-74,CONCEALED FLANGE HANDLE & SLEEVE,,550,
C.P-CDA,CSS-73,CONCEALED FLANGE HANDLE & SLEEVE,,520,
C.P-CDA,CSS-72,CONCEALED FLANGE HANDLE & SLEEVE,,540,
